message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,,,
"Steve Kelly You are not entirely correct and only by half. One should tell the whole story and not half truths. During his tenure, U.S. President James K. Polk oversaw the greatest territorial expansion of the United States to date. Polk accomplished this through the annexation of Texas in 1845, the negotiation of the Oregon Treaty with Great Britain in 1846, and the conclusion of the Mexican-American War in 1848, which ended with the signing and ratification of the Treaty of Guadalupe-Hidalgo in 1848. The Battle of Veracruz brought within the control of the United States the future states of Texas, California, Nevada, New Mexico, Arizona, Utah, Washington, and Oregon, as well as portions of what would later become Oklahoma, Colorado, Kansas, Wyoming, and Montana. Following Texas’ successful war of independence against Mexico in 1836, President Martin van Buren refrained from annexing Texas after the Mexicans threatened war. Accordingly, while the United States extended diplomatic recognition to Texas, it took no further action concerning annexation until 1844, when President John Tyler restarted negotiations with the Republic of Texas. His efforts culminated on April 12 in a Treaty of Annexation, an event that caused Mexico to sever diplomatic relations with United States. Tyler, however, lacked the votes in the Senate to ratify the treaty, and it was defeated by a wide margin in June. Shortly before he left office, Tyler tried again, this time through a joint resolution of both houses of Congress. With the support of President-elect Polk, Tyler managed to get the joint resolution passed on March 1, 1845, and Texas was admitted into the United States on December 29. Texas was also bought from Mexico in said treaty.

PS Edit: Mr. Kelly I am pretty sure that your ancestors were immigrants as well. So in this reference it is merely the pot calling the kettle black concept. As for me? I am half Irish and the rest is Native American so I do believe I have a little bit more free range to school you on these types of concepts. If one wishes to open their mouth it's best not to be the pot calling the kettle black.",0,2018-02-24 12:50:49,2,1,1,0,0,0,0,0,,,
"Well, get rid of St. Patrick’s Day, Valentines Day, Columbus Day, and Christmas. This are days where culture is celebrated.",0,2018-02-24 12:51:18,2,2,0,0,0,0,0,0,,,
"Yeah, like those darn Brits that forced their culture on my Dutch ancestors!",0,2018-02-24 12:51:39,4,2,0,0,2,0,0,0,,,
"MattandDorinda Vincent 
Because Islam wants to conquer us....already started. Wake the hell up!",0,2018-02-24 12:53:30,0,0,0,0,0,0,0,0,,,
You forced your culture on native Americans and African slaves. Put the crack pipe down!,0,2018-02-24 12:55:07,2,2,0,0,0,0,0,0,,,
"Kristy Hall If we keep going in the direction we seem to be going in, it won't be long before we are no longer America.  Examples of another country taking over our culture...hiring teachers to teach Spanish and other languages in their language instead of English.   Homes where English isn't even spoken.  Cities that harbor foreign  criminals that murder, rape and bring drugs in. Cities that allow foreign flags to be paraded down our streets instead of our American flag.  People that won't stand for OUR national anthem or our flag.   Prayer in school use to be a given.  Our history books have been radically changed all ready to teach lies to our children.  I could go on  & on...these are changes that I've all ready seen happening that absolutely affect our values and our country's culture.",0,2018-02-24 12:55:13,0,0,0,0,0,0,0,0,,,
I live in Southern California and the Chinese from China are coming to Irvine and Lake Forest and buying up the new homes and in our neighborhoods. At least they have money and are educated but I won't be happy if they take over all of our shopping centers. I grew up in Garden Grove California and when the Vietnamese came over they totally took over two cities and we have a freeway sign that says Little Saigon. I am totally against this,0,2018-02-24 12:55:34,4,2,0,0,0,0,2,0,,,
Okay Brandon Garrett.  Let me rephrase....Just because someone has a different culture or religion does not mean they are forcing it on you. Better?  Since you want to be a douchebag and argue semantics. Misses the point entirely there didn't ya? Good job!,0,2018-02-24 12:56:09,2,2,0,0,0,0,0,0,,,
Bill Ellis a poem written 20+ years later is propaganda not sound government policy.,0,2018-02-24 12:56:23,0,0,0,0,0,0,0,0,,,
MattandDorinda Vincent you also missed the point. Stop being a bigot. Everyone that comes to America doesn't want to turn America into their country. Again....people can be different from you and not force you to be like them.,0,2018-02-24 12:57:47,3,3,0,0,0,0,0,0,,,
What heritage are you from?,0,2018-02-24 12:58:05,1,1,0,0,0,0,0,0,,,
How about you kick yours mother and father in law out of the country first. You hypocrite!,0,2018-02-24 12:59:14,0,0,0,0,0,0,0,0,,,
Kathy Kenney your comment is extreme. Most practicing Muslims don't even want Sharia law and the ones that do only apply it to themselves and not you and I.,0,2018-02-24 12:59:27,1,0,0,0,1,0,0,0,,,
"Stephen Mattina We shouldn't Have to force anything on a person that wants to come to our country legally, who wants to work, be a part of our culture, our beliefs & our laws!  If they don't want these, then they just shouldn't come here!",0,2018-02-24 12:59:59,5,5,0,0,0,0,0,0,,,
"Also Kathy Kenney ""Islam"" is a religion and can't concquer anyone. That's like saying ""Christianity is trying to concquer us""",0,2018-02-24 13:01:08,0,0,0,0,0,0,0,0,,,
Cheryl Bowler Schrager but was you happy paying for Obama travelling expense,0,2018-02-24 13:01:29,1,0,1,0,0,0,0,0,,,
David Rovka you not seeing it is exactly the problem. You obviously don't understand the meaning of assimilation. People come to America for its promise. Demanding that your Culture retained is just abrogating that promise. The lie of multiculturalism will wind up destroying this country.,0,2018-02-24 13:03:10,2,2,0,0,0,0,0,0,,,
"Brandon Garrett  Sorry to disagree, but in World Cultures class, the religion of EACH country was taught to us!  It is part of a country's culture.",0,2018-02-24 13:03:11,0,0,0,0,0,0,0,0,,,
Gosh I hope ao,0,2018-02-24 13:03:52,0,0,0,0,0,0,0,0,,,
THAT IS IMPOSIBLE MAKE PEOPLE TO LOVE AMERICA ..PEOPLE WHO REALLY LOVE AMERICA ARE SPECIAL PEOPLE THOSE ARE THE ONES THAT ARE GRATEFUL AND FIND THOSE PEOPLE IS NOT EASY GRATEFUL WERE BORN WITH THAT HEART,0,2018-02-24 13:04:09,0,0,0,0,0,0,0,0,,,
🖕,0,2018-02-24 13:04:48,0,0,0,0,0,0,0,0,,,
"matt doesn’t celebrate cinco de mayo, or st Patrick’s day or any other cultural celebrations except for Native American ones I am assuming.",0,2018-02-24 13:05:08,3,2,0,0,1,0,0,0,,,
The Florida school shooter was wearing a make American great again hat saying he wanted to kill Mexicans because of Trump calling them snakes when all they do is cook and clean for everyone.,0,2018-02-24 13:05:49,0,0,0,0,0,0,0,0,,,
Michele Go shame on you!,0,2018-02-24 13:05:50,0,0,0,0,0,0,0,0,,,
Concur?,0,2018-02-24 13:06:40,2,2,0,0,0,0,0,0,,,
Robert Blevins it’s neither propaganda nor policy—it’s a statement of values.  An expression of our identity as a nation.  Kind of like our motto “E pluribus unum”,0,2018-02-24 13:07:09,0,0,0,0,0,0,0,0,,,
Michele Go Why?  Are they doing something to hurt you?,0,2018-02-24 13:07:32,2,2,0,0,0,0,0,0,,,
Define American culture 4 me plz,0,2018-02-24 13:07:35,1,1,0,0,0,0,0,0,,,
"Cheryl Bowler Schrager.. So... You were ok paying traveling expenses of other presidents, because ya know... It's kinda part of the job, you dumb twat",0,2018-02-24 13:07:53,1,1,0,0,0,0,0,0,,,
"Kristy Hall, are you trying to say CONQUER?",0,2018-02-24 13:08:34,2,2,0,0,0,0,0,0,,,
"The picture is so appropriate. 

Don the Con is a snake.",0,2018-02-24 13:09:37,1,1,0,0,0,0,0,0,,,
"Kristy Hall... you need to read about what the religion expects from their people.

They expect there are members to be had those that are not members of their religion..

I guess to Someone Like You that is Mindless it wouldn't hurt much",0,2018-02-24 13:09:45,1,1,0,0,0,0,0,0,,,
Richard Ley people’s religion isn’t a concern for migrating to the US.,0,2018-02-24 13:10:39,0,0,0,0,0,0,0,0,,,
"Kristy Hall,

""con·cur
kənˈkər/Submit
verb
1.
be of the same opinion; agree.",0,2018-02-24 13:11:18,1,1,0,0,0,0,0,0,,,
said the red man!,0,2018-02-24 13:14:09,0,0,0,0,0,0,0,0,,,
There is no real Democrat ideology that promotes inclusion . It is a method of diversity the through division. Ask the following question.Why do they do it.Ask why they want to pay billions supporting illegal immigrants ? What rational reason do they have. This is purely a plan to destroy our culture and country.The Democrats have abused the voters registration system since the civil war ended. They preyed on immigrants and poor communities for power. There corrupt agenda was based on deception and unethical behavior.Then they found the big cities where easily controlled by local ward bosses. Unions where the next obvious move. Then they started to loose some voter due to Assimilation and changing attitudes. So how do we get our base bigger. Simple introduction of more immigrants 1965 Ted Kennedy pushed through a new open system. That combined with social engineering of the 60s . Now assimilation became a bad thing. Diversity through division became the the new game. Illegal immigration and was promoted and self identified special interests groups the latest and greatest ideological divide. Balkanization and divisiveness is the latest approach.Reversing this self loathing anti American values policies and bringing people together is the real issue.,0,2018-02-24 13:15:48,1,1,0,0,0,0,0,0,,,
Richard Ley incorrect. Wanting people to practice the same religion as you is not the same as forcing them to do so. I grew up in a strickly Southern Babtist household but I'm Agnostic. I'm sure my Mom would love it if I was still a Babtist but she doesn't force me to be or make me feel bad about not being the same religion as her. She respects my choice on the matter.  See how that works??,0,2018-02-24 13:15:55,2,2,0,0,0,0,0,0,,,
Kathy Kenney no one’s forcing sharia law on us. Get a grip.,0,2018-02-24 13:16:21,1,0,0,0,0,0,1,0,,,
"A famous quote from JFK ""Ask not what your country can do for you, but what you can do for your country""  America is a place of opportunity, not a place to come and mooch off the taxpayers.",0,2018-02-24 13:16:39,8,8,0,0,0,0,0,0,,,
You right,0,2018-02-24 13:17:48,0,0,0,0,0,0,0,0,,,
Yes Steve Steele of course. Thanks for being the spelling police. Stay on subject.  It's 2018 and phones still suck at autocorrect. Might you have anything valuable to add to this conversation?,0,2018-02-24 13:19:03,2,2,0,0,0,0,0,0,,,
That sounds like Nazi talk to me!,0,2018-02-24 13:20:08,1,1,0,0,0,0,0,0,,,
Cheryl Bowler Schrager More than half of trump's cabinet members have been guilty of ethics breaches .... the most criminal cabinet in history.,0,2018-02-24 13:22:32,4,3,0,0,1,0,0,0,,,
Not true Jim Villella.,0,2018-02-24 13:26:41,1,0,1,0,0,0,0,0,,,
You forced your culture on the indigenous people of this land.,0,2018-02-24 13:31:40,2,2,0,0,0,0,0,0,,,
Do you know any of these people or are you guessing?,0,2018-02-24 13:32:48,0,0,0,0,0,0,0,0,,,
"Haven’t you noticed that the US (not America, as it is a continent, but that’s too hard for you to grasp) has been forcing its culture throughout the world?",0,2018-02-24 13:34:41,2,2,0,0,0,0,0,0,,,
Diane Jachim Christensen there are more Americans mooching off taxpayers than immigrants.,0,2018-02-24 13:37:24,0,0,0,0,0,0,0,0,,,
"Yeah, Kristy Hall blame the phone for you not noticing. Guess the phone doesn't know the difference between concur and conquer (concquer?) ?",0,2018-02-24 13:40:15,2,2,0,0,0,0,0,0,,,
"I love your comment, I'm with ya.",0,2018-02-24 13:46:11,0,0,0,0,0,0,0,0,,,
Fkn idiot !,0,2018-02-24 13:46:58,0,0,0,0,0,0,0,0,,,
Says a man whose culture tried to erase every culture that is here since before his own.,0,2018-02-24 13:48:35,4,3,1,0,0,0,0,0,,,
"Fajga Loebstein Wrong. We didn't ""try"" to erase any culture whatsoever. But we have experienced the Judao-Christian ethic and have found it to be the best ""culture"" for all. We don't need garbage in our lives, such as the leftist atheist and satanist cultures.",0,2018-02-24 13:53:12,6,3,1,0,2,0,0,0,,,
"DrEric J Powers so, the “best” culture in the world has people killlng others at schools, churches, concerts, etc. Nice! Someone with the “best” culture says “I will kill you” as in your profile. Amazing. Very religious. And one question, are you referring to the same religion that did the Holy Inquisition? The same one that killed Galileo? Burned women alive? Killed millions in the name of God?",0,2018-02-24 13:54:18,2,2,0,0,0,0,0,0,,,
Forcing culture on us like white people have done in this country the entire time ?,0,2018-02-24 13:57:27,3,2,0,0,1,0,0,0,,,
"Kristy Hall - They can worship whomever they want, but hijabs and burkas are not as American as apple pie to me. At least blend in and assimilate.",0,2018-02-24 14:00:24,1,1,0,0,0,0,0,0,,,
I agree with Matt Enders.  Too much tax payers money being wasted with should be re-directed for education especially in poor black neighborhoods.  Allowing DACA is promoting illegal immigration and what they are doing IS ILLEGAL!,0,2018-02-24 14:01:06,1,1,0,0,0,0,0,0,,,
Brandy DeCoteau and what about all the obscure stuff the us government has been doing all over the world since ww2?,0,2018-02-24 14:07:06,0,0,0,0,0,0,0,0,,,
Skye King do you wear Navajo outfits to blend in?,0,2018-02-24 14:08:27,0,0,0,0,0,0,0,0,,,
dont end up like the UK,0,2018-02-24 14:13:03,1,1,0,0,0,0,0,0,,,
"Unser Salinas Muriel You have a lot to learn, such as the fact that no philosophy is judged by it's abuse. Jesus is our example and not the people using his name.",0,2018-02-24 14:15:13,1,1,0,0,0,0,0,0,,,
Jim Villella you are an idiot take your dementia meds and go to bed.,0,2018-02-24 14:16:14,1,1,0,0,0,0,0,0,,,
Kristy Hall when they don't they correct spelling,0,2018-02-24 14:18:34,0,0,0,0,0,0,0,0,,,
"Kristi Hall.  You were a ""Babtist?""  Wow. I thought that was Baptist. Lol",0,2018-02-24 14:20:48,0,0,0,0,0,0,0,0,,,
Reese Jones really? Why? I seriously want to know so I can understand I promise I won't judge it criticize. If it makes it easier for you in not white or Jewish,0,2018-02-24 14:21:12,0,0,0,0,0,0,0,0,,,
Because america isnt a single culture.,0,2018-02-24 14:22:40,1,1,0,0,0,0,0,0,,,
Jim Villella really? please name a few. I didn't know and I'm so caught up with this great stuff happening I don't want to be fooled much more if this is just fake stuff,0,2018-02-24 14:23:27,0,0,0,0,0,0,0,0,,,
Unser Salinas Muriel not Trump,0,2018-02-24 14:26:29,0,0,0,0,0,0,0,0,,,
"Michele Go
America is a melting pot with different cultures. Please do enlight me what is wrong with the Vietnamese or the Chinese have taken over California, we do work hard, pay taxes and contribute to the society where we live. You expect us to adapt to the American lifestyle, culture and your religious beliefs and not the other way around. It works both ways, we should not have to bow down to anyone who does not respect who we are. We do not live on Welfare. Now you knew how the Native Americans felt when their lands were taking away from them, force them to live in a a small section out West, killing their people, and converted their peaceful lifestyles into lands and have American roads and signs all over the United States.",0,2018-02-24 14:35:41,0,0,0,0,0,0,0,0,,,
"Michele Go
Don't be jealous because we are extremely hard-working people than you will ever be. If you do not want to live near us, move. We would be extrememely happy and pleased!!",0,2018-02-24 14:38:30,1,1,0,0,0,0,0,0,,,
What about the gun lobby hat wants to push their gun ownership values on averyone,0,2018-02-24 14:40:41,1,1,0,0,0,0,0,0,,,
"Kristy Hall You are the women who took in the snake, the president was describing.",0,2018-02-24 14:40:42,1,1,0,0,0,0,0,0,,,
"Matt Enders
The Native Americans said the same thing when their lands were taking away from them.",0,2018-02-24 14:41:16,1,1,0,0,0,0,0,0,,,
"Sergio Alderete, exactly which tribe is ""Alderete""?  You took the  last name of a white European?",0,2018-02-24 14:44:42,1,1,0,0,0,0,0,0,,,
"Stephanie Sheldon Really?? That's the most ridiculous thing I've ever heard.  I'm actually laughing at your statement, thanks for the laugh.",0,2018-02-24 14:44:54,2,2,0,0,0,0,0,0,,,
Kimberly LaCamera not one of those are cultural related.  They are all commercial.,0,2018-02-24 14:49:21,0,0,0,0,0,0,0,0,,,
Narrow minded,0,2018-02-24 14:52:22,1,1,0,0,0,0,0,0,,,
Fake poster,0,2018-02-24 15:03:24,0,0,0,0,0,0,0,0,,,
"Bill Ellis 
A poem on the Statue of Liberty, given to us by the French. Not a law",0,2018-02-24 15:14:18,2,2,0,0,0,0,0,0,,,
"Matt Enders...

Never mind, why bother.",0,2018-02-24 15:20:43,2,2,0,0,0,0,0,0,,,
"Terry Walker , idiot",0,2018-02-24 15:27:58,0,0,0,0,0,0,0,0,,,
"Read this & take VERY accurate notes, Matt Enders!!! I am sure that this is what you were taught in school & what YOU once believed, as well, until it became more important to enable Trump's malignant narcissism & keep yourselves safe from the possibility of him finding your FB page & the dire consequences of going against him than remember what you were taught about accepting/dealing with/relating to people who are different as you were growing up. Just sayin'.........https://www.facebook.com/laurel.davila/posts/10208906557979568",0,2018-02-24 15:28:38,2,2,0,0,0,0,0,0,,,
"Exactly its not a race or DNA or color issue, it's a culture issue.. if I went to another country I would have respect and be apart or their culture..",0,2018-02-24 15:33:46,2,2,0,0,0,0,0,0,,,
"Are you proposing a ""love america"" test? How would that work? What's your definition of a deadbeat and please be specific.",0,2018-02-24 15:35:02,4,4,0,0,0,0,0,0,,,
"DrEric J Powers oh, so by your logic your “best culture” can abuse and it’s ok thanks to Jesus. Thank you! Do you not notice how fanatic you sound? Just like a Muslim extremist saying he has to kill other religions and it’s ok because the Koran says so.",0,2018-02-24 15:37:02,1,1,0,0,0,0,0,0,,,
"DrEric J Powers actually DrEric (is that a name?) Trump has shown us the hypocrisy of the so called evangelicals. I moved to SC and the religious right here are the biggest bigots and racists I've ever seen. Total frauds, but they all go church and ""praise the lord"". What BS.",0,2018-02-24 15:37:17,2,2,0,0,0,0,0,0,,,
"Ok another stupid comment-
Maybe the white Puritans can go back to their country of origin and take Christianity with them. Native Americans,  moron are the only indigenous people of America. 

Oh but you are talking about other  immigrants right? The ones with darker pigment.",0,2018-02-24 15:40:17,1,1,0,0,0,0,0,0,,,
"We should immediately boycott lasagna, Chicken Parmesan and spaghetti & meatballs.  Why aren't Italians respecting our culture of hot dogs and apple pie?  Why aren't they assimiliating?",0,2018-02-24 15:40:29,10,5,1,1,3,0,0,0,,,
"Unless you are a Native American, you are from immigrants. Thier cultures, are your cultures. What you are today. Such a shame we have such hate in this country since Rump was put in office. This country was built on immigration.",0,2018-02-24 15:40:51,3,3,0,0,0,0,0,0,,,
"Yeah.. the Japanese are forcing their sushi down your throat  .

🤣🤣🤣",0,2018-02-24 15:41:50,7,5,0,0,2,0,0,0,,,
The justifications offered by trumpees are amazing.,0,2018-02-24 15:43:00,6,5,1,0,0,0,0,0,,,
"The American ""culture"" is as diverse as it comes.  What we eat, the holidays we celebrate, the religions we practice, our music, etc are already a total mix from countries around the world. How is it that you people don't see this!?",0,2018-02-24 15:48:25,9,5,4,0,0,0,0,0,,,
"Susan Colliton exactly, and that is in Part what has made you such an influential and diverse country. It’s good to see there are people like you.",0,2018-02-24 15:50:37,5,4,1,0,0,0,0,0,,,
"Did we force you to eat tacos, celebrate St Patrick’s Day, read Chinese fortune cookies",0,2018-02-24 15:52:32,2,1,1,0,0,0,0,0,,,
Terry Walker and who is waving Mexican (or any other country for that matter) flags and saying they will take it back? Just one example please.,0,2018-02-24 15:55:29,4,4,0,0,0,0,0,0,,,
American culture is apart of every culture lol.,0,2018-02-24 15:56:10,4,3,1,0,0,0,0,0,,,
Terry Walker can you prove you’re a real profile? Anything about a real life?,0,2018-02-24 15:56:46,1,1,0,0,0,0,0,0,,,
Including Mel's... parents-what are they contributing to society?,0,2018-02-24 15:59:00,2,1,0,0,1,0,0,0,,,
Unser Salinas Muriel That is because they are right ,),0,2018-02-24 16:02:07,0,0,0,0,0,0,0,0,,
Bill Ellis come “legally” and we don’t have a problem.  But I guess you don’t know the difference.  🤦‍♂️,0,2018-02-24 16:04:39,1,1,0,0,0,0,0,0,,,
Jesse Gates who is “they”? And what is it that they are “right”?,0,2018-02-24 16:04:56,0,0,0,0,0,0,0,0,,,
"Stephen Mattina if you moved to another country, would you force and demand your culture on them?  I thought not!!!!!",0,2018-02-24 16:05:58,3,3,0,0,0,0,0,0,,,
"""Native Americans should have protected their borders just like we should""
-Baghdad Terry

You didn't just say that.",0,2018-02-24 16:06:58,3,2,0,0,1,0,0,0,,,
Bebe Davis hello.  That happened way before anyone here was born.  Can we please keep the conversation within this decade.  Don’t really care!,0,2018-02-24 16:07:16,2,2,0,0,0,0,0,0,,,
What culture?,0,2018-02-24 16:10:06,0,0,0,0,0,0,0,0,,,
"Unser Salinas Muriel , we DON'T need any justification,  as you put it.
    PLAIN  and simple,  if your here illegally,  you are an invader.  And in violation of the law. So, go back.",0,2018-02-24 16:11:40,8,6,0,0,2,0,0,0,,,
Werner Evans I'd bet that all these so-called patriots that support trump would not be able to pass the test that immigrants take to become citizens, all they seem to want to do is quote b.s. from fox news or trump himself :),0,2018-02-24 16:16:58,5,5,0,0,0,0,0,0,,
"Terry Walker Do conspiracy theories much, Terry??",0,2018-02-24 16:21:56,1,1,0,0,0,0,0,0,,,
Terry u are an alcoholic... nobody cares,0,2018-02-24 16:27:10,1,1,0,0,0,0,0,0,,,
Jim Villella We don't want to have to work two or more jobs to support lazy parasites who only want to squirt out kids and live off of us.,0,2018-02-24 16:27:54,4,4,0,0,0,0,0,0,,,
Bates.. such drama queen.. invader?? 🤣,0,2018-02-24 16:28:04,1,1,0,0,0,0,0,0,,,
Ara Ari PROJECTING!,0,2018-02-24 16:32:10,1,1,0,0,0,0,0,0,,,
Jim Villella terry’s loves those conspiracy theories. The democrats released their memo it’s great reading,0,2018-02-24 16:33:05,1,1,0,0,0,0,0,0,,,
Terry Walker Nunes is such a tool,0,2018-02-24 16:33:27,2,2,0,0,0,0,0,0,,,
Terry Walker Dumps noose is getting tighter,0,2018-02-24 16:34:23,1,1,0,0,0,0,0,0,,,
What about French manicures?  Greek salads?  German Shepherds?  What will happen to them?! These are the important questions we must ask ourselves as we ponder our fate and future..,0,2018-02-24 16:36:39,3,0,0,0,3,0,0,0,,,
"Ara Ari No, tax payer. You? I'm thinking you must be a freeloader.",0,2018-02-24 16:37:33,1,1,0,0,0,0,0,0,,,
Terry Walker Jesus said love your neighbours. Billy Graham says your neighbour is people in need and those immigrants that you bash are in need so you are not following Jesus teachings,0,2018-02-24 16:38:15,0,0,0,0,0,0,0,0,,,
"Ken Bates I thought the subject was the “culture” issue, not if they are illegal or not. Would you reread to me the original post? The problem with the post is that legality has nothing to do with culture, but you’re rejecting people because they don’t share your “white” culture, not necessarily American. America encompasses a lot more than your “culture” bro. You would be amazed at the richness in real culture Mexico possess, and México is as American as Germany is European. So when you acknowledge other cultures you will understand them a lot better. But hey! MAGA 😂😂😂😂",0,2018-02-24 16:40:08,2,2,0,0,0,0,0,0,,,
"All Democrats such as Nancy P and Chuck Schumer will be held accountable for being complicit in the Murdering of American citizens by an Illegal. Trump has made this clear.
http://thehill.com/blogs/blog-briefing-room/369952-new-trump-ad-calls-democrats-complicit-in-all-murders-by-illegal",0,2018-02-24 16:40:39,0,0,0,0,0,0,0,0,,,
"Elaine Stewart

🤣🤣🤣🤣",0,2018-02-24 16:42:42,2,2,0,0,0,0,0,0,,,
Hello ara,0,2018-02-24 16:42:45,1,1,0,0,0,0,0,0,,,
"Hi Unser Salinas Muriel

Having fun too?",0,2018-02-24 16:43:15,2,1,0,0,1,0,0,0,,,
"Ara Ari yeah, y’know, little minds are quite amusing. Problem is when those little minds get their hands on an AR-15 😞😞😞",0,2018-02-24 16:43:54,3,3,0,0,0,0,0,0,,,
They want me to 'assimilate' to Starbucks 🤣,0,2018-02-24 16:44:14,2,0,0,0,2,0,0,0,,,
Hey Elaine,0,2018-02-24 16:44:38,1,1,0,0,0,0,0,0,,,
Hey Ara Ari,0,2018-02-24 16:44:51,1,0,1,0,0,0,0,0,,,
Hi Marcia Losee,0,2018-02-24 16:45:11,1,0,1,0,0,0,0,0,,,
What up Cory Robert Gossen,0,2018-02-24 16:45:47,1,1,0,0,0,0,0,0,,,
"Cory Robert Gossen

Still mad at me?",0,2018-02-24 16:47:13,0,0,0,0,0,0,0,0,,,
Hey Unser..what were the merits Immigrant Malania's parents had?,0,2018-02-24 16:47:59,1,1,0,0,0,0,0,0,,,
Ara Ari..wish I could show pictures of your house to all the pitiful Trumplings. Lol,0,2018-02-24 16:50:14,1,1,0,0,0,0,0,0,,,
"Marcia Losee

Why do they always call me freeloader?? It's cause I'm Mexican uh?

🤣🤣🤣",0,2018-02-24 16:53:06,3,0,0,1,2,0,0,0,,,
Ara Ari not mad at nobody I was in Facebook jail,0,2018-02-24 16:54:33,2,0,0,0,0,2,0,0,,,
"Cory Robert Gossen

Ugh.. I hate that. Been there like 12 times already.. these trumpers are such snowflakes",0,2018-02-24 16:55:40,2,1,1,0,0,0,0,0,,,
Terry Walker that is true but like the bible say take in foreigners in since once you were a foreigner in your own land,0,2018-02-24 16:55:55,0,0,0,0,0,0,0,0,,,
Marcia Losee Hi Marcia :),0,2018-02-24 16:56:28,1,0,1,0,0,0,0,0,,,
Terry .. you are the worst!,0,2018-02-24 16:57:59,0,0,0,0,0,0,0,0,,,
Cory Robert Gossen..lots of thinskinned Trumplings on Donnies's page.,0,2018-02-24 17:00:14,2,2,0,0,0,0,0,0,,,
Again Steve Steele not adding anything valuable to this conversation so you should probably just STFU,0,2018-02-24 17:00:23,0,0,0,0,0,0,0,0,,,
Dan Swartz is in jail.,0,2018-02-24 17:01:26,3,0,0,0,0,3,0,0,,,
